ID	Relation	RelType	NE	X	Y	Y'	NEType	MeSH	Sent
2029	react	neutral	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	In the present study , the miR-381 expression was assessed in a cohort of 113 CRC specimens using real-time quantitative polymerase chain reaction ( RTq-PCR ) , which demonstrated that miR-381 was significantly downregulated in CRC and correlated with distant metastasis and tumor , node , and metastasis ( TNM ) stage .
2014	regulate	positive	mir-302	1243.208	423.4974	423.4974	miRNA		In this article , I have focused on the role of HA interaction with CD44 and several important signaling molecules in the regulation of unique miRNAs ( e.g. , miR-21 , miR-302 and miR-10b ) and their downstream targets leading to multiple tumor cell-specific functions ( e.g. , tumor cell growth , drug resistance and metastasis ) and cancer progression .
2014	regulate	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	In this article , I have focused on the role of HA interaction with CD44 and several important signaling molecules in the regulation of unique miRNAs ( e.g. , miR-21 , miR-302 and miR-10b ) and their downstream targets leading to multiple tumor cell-specific functions ( e.g. , tumor cell growth , drug resistance and metastasis ) and cancer progression .
2010	effect	neutral	mir-1976	1242.86	418.2052	418.2052	miRNA		Further study showed that PLCE1 could reverse the inhibitory effect of miR-1976 on growth and metastasis of NSCLC cells .
2010	effect	neutral	escc	1243.493	471.2066	471.2066	Cancer	D009369	Further study showed that PLCE1 could reverse the inhibitory effect of miR-1976 on growth and metastasis of NSCLC cells .
2009	promote	positive	mir-1976	1242.86	418.2052	418.2052	miRNA		The PLCE1 was a direct target of miR-1976 and promoted the growth and metastasis of NSCLC cells .
2009	promote	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	The PLCE1 was a direct target of miR-1976 and promoted the growth and metastasis of NSCLC cells .
2008	inhibit	negative	mir-1976	1242.86	418.2052	418.2052	miRNA		Overexpression of miR-1976 inhibited the growth and metastasis of NSCLC cells .
2008	inhibit	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	Overexpression of miR-1976 inhibited the growth and metastasis of NSCLC cells .
2002	downregulate	negative	mir-601	1242.449	412.9175	412.9175	miRNA		Moreover , we found that down-regulation of miR-601 was closely associated with distant metastasis and poor distant metastasis-free survival in breast cancer .
2002	downregulate	negative	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	Moreover , we found that down-regulation of miR-601 was closely associated with distant metastasis and poor distant metastasis-free survival in breast cancer .
2001	regulate	positive	mir-32	1241.974	407.6351	407.6351	miRNA		Moreover , we identified and validated that TWIST1 was a direct target of miR-32 , and miR-32 regulated NSCLC cell proliferation , EMT , and metastasis , at least in part via modulation of TWIST1 .
2001	regulate	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	Moreover , we identified and validated that TWIST1 was a direct target of miR-32 , and miR-32 regulated NSCLC cell proliferation , EMT , and metastasis , at least in part via modulation of TWIST1 .
2000	regulate	positive	mir-32	1241.974	407.6351	407.6351	miRNA		Moreover , we identified and validated that TWIST1 was a direct target of miR-32 , and miR-32 regulated NSCLC cell proliferation , EMT , and metastasis , at least in part via modulation of TWIST1 .
2000	regulate	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	Moreover , we identified and validated that TWIST1 was a direct target of miR-32 , and miR-32 regulated NSCLC cell proliferation , EMT , and metastasis , at least in part via modulation of TWIST1 .
1999	upregulate	positive	mir-32	1241.974	407.6351	407.6351	miRNA		An inverse correlation existed between miR-32 expression level and NSCLC cell proliferation , EMT , and metastasis , and upregulation of miR-32 repressed NSCLC cell proliferation , EMT , and metastasis .
1999	upregulate	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	An inverse correlation existed between miR-32 expression level and NSCLC cell proliferation , EMT , and metastasis , and upregulation of miR-32 repressed NSCLC cell proliferation , EMT , and metastasis .
1998	upregulate	positive	mir-32	1241.974	407.6351	407.6351	miRNA		An inverse correlation existed between miR-32 expression level and NSCLC cell proliferation , EMT , and metastasis , and upregulation of miR-32 repressed NSCLC cell proliferation , EMT , and metastasis .
1998	upregulate	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	An inverse correlation existed between miR-32 expression level and NSCLC cell proliferation , EMT , and metastasis , and upregulation of miR-32 repressed NSCLC cell proliferation , EMT , and metastasis .
1997	effect	neutral	mir-32	1241.974	407.6351	407.6351	miRNA		MTT , transwell chamber , and Western blot assays were used to assess the effect of miR-32 on proliferation , EMT , and metastasis of NSCLC cells , respectively .
1997	effect	neutral	escc	1243.493	471.2066	471.2066	Cancer	D009369	MTT , transwell chamber , and Western blot assays were used to assess the effect of miR-32 on proliferation , EMT , and metastasis of NSCLC cells , respectively .
1996	effect	neutral	mir-32	1241.974	407.6351	407.6351	miRNA		MTT , transwell chamber , and Western blot assays were used to assess the effect of miR-32 on proliferation , EMT , and metastasis of NSCLC cells , respectively .
1996	effect	neutral	escc	1243.493	471.2066	471.2066	Cancer	D009369	MTT , transwell chamber , and Western blot assays were used to assess the effect of miR-32 on proliferation , EMT , and metastasis of NSCLC cells , respectively .
1995	effect	neutral	mir-32	1241.974	407.6351	407.6351	miRNA		Here , we report the effect of miR-32 on NSCLC cell proliferation , epithelial-mesenchymal transition ( EMT ) , and metastasis .
1995	effect	neutral	escc	1243.493	471.2066	471.2066	Cancer	D009369	Here , we report the effect of miR-32 on NSCLC cell proliferation , epithelial-mesenchymal transition ( EMT ) , and metastasis .
1994	effect	neutral	mir-32	1241.974	407.6351	407.6351	miRNA		Here , we report the effect of miR-32 on NSCLC cell proliferation , epithelial-mesenchymal transition ( EMT ) , and metastasis .
1994	effect	neutral	escc	1243.493	471.2066	471.2066	Cancer	D009369	Here , we report the effect of miR-32 on NSCLC cell proliferation , epithelial-mesenchymal transition ( EMT ) , and metastasis .
1993	inhibit	negative	mir-32	1241.974	407.6351	407.6351	miRNA		miR-32 inhibits proliferation , epithelial-mesenchymal transition , and metastasis by targeting TWIST1 in non-small-cell lung cancer cells .
1993	inhibit	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	miR-32 inhibits proliferation , epithelial-mesenchymal transition , and metastasis by targeting TWIST1 in non-small-cell lung cancer cells .
1991	inhibit	negative	mir-539	1241.437	402.3588	402.3588	miRNA		Ectopic overexpression of miR-539 can drastically inhibit SPAG5 expression and the restoration of SPAG5 expression can reverse the inhibitory effects of miR-539 on PCa cell proliferation and metastasis .
1991	inhibit	negative	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	Ectopic overexpression of miR-539 can drastically inhibit SPAG5 expression and the restoration of SPAG5 expression can reverse the inhibitory effects of miR-539 on PCa cell proliferation and metastasis .
1988	upregulate	positive	microrna-130a	1240.836	397.0893	397.0893	miRNA		This study demonstrates for the first time that microRNA-130a ( miR-130a ) is significantly upregulated in osteosarcoma , and associated with the metastasis of osteosarcoma .
1988	upregulate	positive	local invasion 	1211.956	615.6148	615.6148	Cancer	D009362	This study demonstrates for the first time that microRNA-130a ( miR-130a ) is significantly upregulated in osteosarcoma , and associated with the metastasis of osteosarcoma .
1987	promote	positive	microrna-130a	1240.836	397.0893	397.0893	miRNA		MicroRNA-130a promotes the metastasis and epithelial-mesenchymal transition of osteosarcoma by targeting PTEN .
1987	promote	positive	local invasion 	1211.956	615.6148	615.6148	Cancer	D009362	MicroRNA-130a promotes the metastasis and epithelial-mesenchymal transition of osteosarcoma by targeting PTEN .
1977	control	neutral	microrna-491	1240.173	391.8273	391.8273	miRNA		This study aimed to explore the roles of microRNA-491-5p ( miR-491 ) and its target MMP9 in the control of metastasis of osteosarcoma ( OS ) as well as how the rs1056629 polymorphism in the 3 ' untranslated region ( 3'UTR ) of MMP9 compromises the interaction between miR-491 and MMP9 .
1977	control	neutral	local invasion 	1211.956	615.6148	615.6148	Cancer	D009362	This study aimed to explore the roles of microRNA-491-5p ( miR-491 ) and its target MMP9 in the control of metastasis of osteosarcoma ( OS ) as well as how the rs1056629 polymorphism in the 3 ' untranslated region ( 3'UTR ) of MMP9 compromises the interaction between miR-491 and MMP9 .
1976	downregulate	negative	mir-210/hif	1239.446	386.5736	386.5736	miRNA		Downregulation of TIMP2 via HIF-1帢/miR-210/HIF-3帢 regulatory feedback circuit enhances cancer metastasis in hepatocellular carcinoma .
1976	downregulate	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	Downregulation of TIMP2 via HIF-1帢/miR-210/HIF-3帢 regulatory feedback circuit enhances cancer metastasis in hepatocellular carcinoma .
1974	regulate	positive	microrna-421	1238.657	381.329	381.329	miRNA		MicroRNA-421 regulated by HIF-1帢 promotes metastasis , inhibits apoptosis , and induces cisplatin resistance by targeting E-cadherin and caspase-3 in gastric cancer .
1974	regulate	positive	gc	1242.449	487.0825	487.0825	Cancer	D061325	MicroRNA-421 regulated by HIF-1帢 promotes metastasis , inhibits apoptosis , and induces cisplatin resistance by targeting E-cadherin and caspase-3 in gastric cancer .
1963	inhibit	negative	mir-10a	1237.806	376.0941	376.0941	miRNA		Moreover , TUSC7 inhibited cell metastasis , invasion , and epithelial-to-mesenchymal transformation ( EMT ) through competitively binding miR-10a .
1963	inhibit	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	Moreover , TUSC7 inhibited cell metastasis , invasion , and epithelial-to-mesenchymal transformation ( EMT ) through competitively binding miR-10a .
1962	suppress	negative	mir-29a/c	1236.892	370.8698	370.8698	miRNA		By simulating the tumor microenvironment , the MV-delivered miR-29a/c significantly suppresses VEGF expression in GC cells , inhibiting vascular cell growth , metastasis , and tube formation .
1962	suppress	negative	gc	1242.449	487.0825	487.0825	Cancer	D061325	By simulating the tumor microenvironment , the MV-delivered miR-29a/c significantly suppresses VEGF expression in GC cells , inhibiting vascular cell growth , metastasis , and tube formation .
1959	suppress	negative	microrna-630	1235.915	365.6568	365.6568	miRNA		MicroRNA-630 suppresses tumor metastasis through the TGF-?] - miR-630-Slug signaling pathway and correlates inversely with poor prognosis in hepatocellular carcinoma .
1959	suppress	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	MicroRNA-630 suppresses tumor metastasis through the TGF-?] - miR-630-Slug signaling pathway and correlates inversely with poor prognosis in hepatocellular carcinoma .
1949	inhibit	negative	mir-499	1234.877	360.4559	360.4559	miRNA		Furthermore , miR-499-5p overexpression also inhibited NSCLC metastasis in vitro and in vivo .
1949	inhibit	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	Furthermore , miR-499-5p overexpression also inhibited NSCLC metastasis in vitro and in vivo .
1948	inhibit	negative	mir-499	1234.877	360.4559	360.4559	miRNA		Overexpression of miR-499-5p inhibits non-small cell lung cancer proliferation and metastasis by targeting VAV3 .
1948	inhibit	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	Overexpression of miR-499-5p inhibits non-small cell lung cancer proliferation and metastasis by targeting VAV3 .
1945	regulate	positive	mir-543	1233.776	355.2677	355.2677	miRNA		Our study highlights a pivotal role for miR-543 as a suppressor in the regulation of CRC growth and metastasis and suggests that miR-543 may serve as a novel diagnostic and prognostic biomarker for CRC metastasis .
1945	regulate	positive	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	Our study highlights a pivotal role for miR-543 as a suppressor in the regulation of CRC growth and metastasis and suggests that miR-543 may serve as a novel diagnostic and prognostic biomarker for CRC metastasis .
1944	inhibit	negative	mir-543	1233.776	355.2677	355.2677	miRNA		Collectively , these data show that miR-543 inhibits the proliferation and metastasis of CRC cells by targeting KRAS , MTA1 and HMGA2 .
1944	inhibit	negative	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	Collectively , these data show that miR-543 inhibits the proliferation and metastasis of CRC cells by targeting KRAS , MTA1 and HMGA2 .
1943	promote	positive	mir-543	1233.776	355.2677	355.2677	miRNA		Conversely , miR-543 knockdown promoted the proliferation , migration and invasion of CRC cells in vitro and augmented tumor growth and metastasis in vivo .
1943	promote	positive	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	Conversely , miR-543 knockdown promoted the proliferation , migration and invasion of CRC cells in vitro and augmented tumor growth and metastasis in vivo .
1942	inhibit	negative	mir-543	1233.776	355.2677	355.2677	miRNA		Moreover , ectopic expression of miR-543 inhibited the proliferation and metastasis of CRC cells in vitro and in vivo by targeting KRAS , MTA1 and HMGA2 .
1942	inhibit	negative	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	Moreover , ectopic expression of miR-543 inhibited the proliferation and metastasis of CRC cells in vitro and in vivo by targeting KRAS , MTA1 and HMGA2 .
1941	suppress	negative	microrna-543	1232.614	350.093	350.093	miRNA		MicroRNA-543 suppresses colorectal cancer growth and metastasis by targeting KRAS , MTA1 and HMGA2 .
1941	suppress	negative	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	MicroRNA-543 suppresses colorectal cancer growth and metastasis by targeting KRAS , MTA1 and HMGA2 .
1933	regulate	positive	mir-548j	1231.389	344.9326	344.9326	miRNA		Our findings demonstrate that miR-548j functions as a metastasis-promoting miRNA to regulate breast cancer cell invasion and metastasis by targeting Tensin1 and activating Cdc42 , suggesting a potential therapeutic application in breast cancer .
1933	regulate	positive	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	Our findings demonstrate that miR-548j functions as a metastasis-promoting miRNA to regulate breast cancer cell invasion and metastasis by targeting Tensin1 and activating Cdc42 , suggesting a potential therapeutic application in breast cancer .
1932	stimulate	positive	mir-548j	1231.389	344.9326	344.9326	miRNA		Moreover , miR-548j was shown to stimulate breast cancer cell invasion and metastasis in ? vitro and in ? vivo , but had no effect on proliferation .
1932	stimulate	positive	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	Moreover , miR-548j was shown to stimulate breast cancer cell invasion and metastasis in ? vitro and in ? vivo , but had no effect on proliferation .
1921	inhibit	negative	microrna-379	1230.104	339.7872	339.7872	miRNA		MicroRNA-379-5p inhibits tumor invasion and metastasis by targeting FAK/AKT signaling in hepatocellular carcinoma .
1921	inhibit	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	MicroRNA-379-5p inhibits tumor invasion and metastasis by targeting FAK/AKT signaling in hepatocellular carcinoma .
1918	control	neutral	mir-1284	1228.756	334.6575	334.6575	miRNA		In this study , the expression of miR-1284 was reduced in gastric cancer ( GC ) tissue specimens with metastasis and in vincristine-resistant ( VCR ) GC ? SGC7901 cells ( SGC-7901/VCR ) compared to that in the controls .
1918	control	neutral	gc	1242.449	487.0825	487.0825	Cancer	D061325	In this study , the expression of miR-1284 was reduced in gastric cancer ( GC ) tissue specimens with metastasis and in vincristine-resistant ( VCR ) GC ? SGC7901 cells ( SGC-7901/VCR ) compared to that in the controls .
1913	upregulate	positive	mir-652	1227.348	329.5443	329.5443	miRNA		Our results showed that the expression of miR-652-3p was significantly upregulated in tumor tissues of 50 patients with NSCLC , and it was significantly higher in patients with positive lymph node metastasis , advanced TNM stage and poor prognosis .
1913	upregulate	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	Our results showed that the expression of miR-652-3p was significantly upregulated in tumor tissues of 50 patients with NSCLC , and it was significantly higher in patients with positive lymph node metastasis , advanced TNM stage and poor prognosis .
1912	upregulate	positive	mir-652	1227.348	329.5443	329.5443	miRNA		Our results showed that the expression of miR-652-3p was significantly upregulated in tumor tissues of 50 patients with NSCLC , and it was significantly higher in patients with positive lymph node metastasis , advanced TNM stage and poor prognosis .
1912	upregulate	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	Our results showed that the expression of miR-652-3p was significantly upregulated in tumor tissues of 50 patients with NSCLC , and it was significantly higher in patients with positive lymph node metastasis , advanced TNM stage and poor prognosis .
1911	effect	neutral	mir-652	1227.348	329.5443	329.5443	miRNA		In this study , we detected the expression of miR-652-3p in NSCLC tumor tissues and cell lines and investigated the effect of miR-652-3p on the proliferation and metastasis of NSCLC cells .
1911	effect	neutral	escc	1243.493	471.2066	471.2066	Cancer	D009369	In this study , we detected the expression of miR-652-3p in NSCLC tumor tissues and cell lines and investigated the effect of miR-652-3p on the proliferation and metastasis of NSCLC cells .
1910	upregulate	positive	mir-652	1227.348	329.5443	329.5443	miRNA		MiR-652-3p is upregulated in non-small cell lung cancer and promotes proliferation and metastasis by directly targeting Lgl1 .
1910	upregulate	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	MiR-652-3p is upregulated in non-small cell lung cancer and promotes proliferation and metastasis by directly targeting Lgl1 .
1907	inhibit	negative	microrna-92b	1225.879	324.4482	324.4482	miRNA		Screening of the differentially expressed microRNAs identified that microRNA-92b-3p ( miR-92b ) could dramatically inhibit invasion and metastasis of ESCC cells in vitro and in vivo .
1907	inhibit	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	Screening of the differentially expressed microRNAs identified that microRNA-92b-3p ( miR-92b ) could dramatically inhibit invasion and metastasis of ESCC cells in vitro and in vivo .
1896	inhibit	negative	microrna-323	1224.349	319.3701	319.3701	miRNA		MicroRNA-323-3p inhibits cell invasion and metastasis in pancreatic ductal adenocarcinoma via direct suppression of SMAD2 and SMAD3 .
1896	inhibit	negative	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	MicroRNA-323-3p inhibits cell invasion and metastasis in pancreatic ductal adenocarcinoma via direct suppression of SMAD2 and SMAD3 .
1889	suppress	negative	microrna-23b/	1222.758	314.3105	314.3105	miRNA		The microRNA-23b/-27b cluster suppresses prostate cancer metastasis via Huntingtin-interacting protein 1-related .
1889	suppress	negative	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	The microRNA-23b/-27b cluster suppresses prostate cancer metastasis via Huntingtin-interacting protein 1-related .
1882	promote	positive	mir-365a	1221.107	309.2704	309.2704	miRNA		The data suggest that miR-365a-3p may act as an oncomiR and may promote growth and metastasis in LSCC via the PI3K/AKT signaling pathway , and thus miR ? 365a-3p may be a potential therapeutic target for treatment of LSCC .
1882	promote	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	The data suggest that miR-365a-3p may act as an oncomiR and may promote growth and metastasis in LSCC via the PI3K/AKT signaling pathway , and thus miR ? 365a-3p may be a potential therapeutic target for treatment of LSCC .
1881	suppress	negative	mir-365a	1221.107	309.2704	309.2704	miRNA		We then investigated the role of miR-365a-3p in LSCC in ? vivo and found that miR-365a-3p inhibitor suppressed LSCC xenograft tumor growth and metastasis in xenograft mouse models .
1881	suppress	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	We then investigated the role of miR-365a-3p in LSCC in ? vivo and found that miR-365a-3p inhibitor suppressed LSCC xenograft tumor growth and metastasis in xenograft mouse models .
1880	promote	positive	microrna-365a	1219.396	304.2504	304.2504	miRNA		MicroRNA-365a-3p promotes tumor growth and metastasis in laryngeal squamous cell carcinoma .
1880	promote	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	MicroRNA-365a-3p promotes tumor growth and metastasis in laryngeal squamous cell carcinoma .
1870	activate	positive	mir-21/nf	1217.625	299.2511	299.2511	miRNA		Here , we reported that high miR-21 expression was strongly associated with lymph node metastasis in breast cancer , and the activation of the miR-21/NF- ? B was required for the metastatic promoting effect of CAFs .
1870	activate	positive	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	Here , we reported that high miR-21 expression was strongly associated with lymph node metastasis in breast cancer , and the activation of the miR-21/NF- ? B was required for the metastatic promoting effect of CAFs .
1872	inhibit	negative	microrna-183	1215.795	294.2733	294.2733	miRNA		MicroRNA-183 functions as the tumor suppressor via inhibiting cellular invasion and metastasis by targeting MMP-9 in cervical cancer .
1872	inhibit	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	MicroRNA-183 functions as the tumor suppressor via inhibiting cellular invasion and metastasis by targeting MMP-9 in cervical cancer .
1860	promote	positive	microrna-183	1215.795	294.2733	294.2733	miRNA		MicroRNA-183-5p promotes the proliferation , invasion and metastasis of human pancreatic adenocarcinoma cells .
1860	promote	positive	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	MicroRNA-183-5p promotes the proliferation , invasion and metastasis of human pancreatic adenocarcinoma cells .
1856	promote	positive	microrna-130b	1213.905	289.3178	289.3178	miRNA		MicroRNA-130b promotes proliferation and EMT-induced metastasis via PTEN/p-AKT/HIF-1帢 signaling .
1856	promote	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	MicroRNA-130b promotes proliferation and EMT-induced metastasis via PTEN/p-AKT/HIF-1帢 signaling .
2043	inhibit	negative	microrna-126	1211.956	284.3852	284.3852	miRNA		MicroRNA-126 inhibits tumor cell invasion and metastasis by downregulating ROCK1 in renal cell carcinoma .
2043	inhibit	negative	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	MicroRNA-126 inhibits tumor cell invasion and metastasis by downregulating ROCK1 in renal cell carcinoma .
1841	downregulate	negative	microrna-126	1211.956	284.3852	284.3852	miRNA		Down-regulation of microRNA-126 and microRNA-133b acts as novel predictor biomarkers in progression and metastasis of non small cell lung cancer .
1841	downregulate	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	Down-regulation of microRNA-126 and microRNA-133b acts as novel predictor biomarkers in progression and metastasis of non small cell lung cancer .
1840	suppress	negative	mir-152	1209.948	279.4763	279.4763	miRNA		Together , these findings indicated that miR-152 suppression in NSCLC cells might promote neuropilin-1 mediated cancer metastasis and suggested a new therapeutic application of miR-152 in the treatment of NSCLC .
1840	suppress	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	Together , these findings indicated that miR-152 suppression in NSCLC cells might promote neuropilin-1 mediated cancer metastasis and suggested a new therapeutic application of miR-152 in the treatment of NSCLC .
1836	downregulate	negative	mir-152	1209.948	279.4763	279.4763	miRNA		Our results proved that miR-152 expression was downregulated in CRC cell lines and tissue samples , and its expression was inversely correlated with advanced tumor-node-metastasis ( TNM ) stage ( P ? < ? 0.01 ) and lymph node metastasis ( P ? < ? 0.01 ) .
1836	downregulate	negative	colorectal cancer 	754.9962	891.7133	891.7133	Cancer	D001943|D009369	Our results proved that miR-152 expression was downregulated in CRC cell lines and tissue samples , and its expression was inversely correlated with advanced tumor-node-metastasis ( TNM ) stage ( P ? < ? 0.01 ) and lymph node metastasis ( P ? < ? 0.01 ) .
1835	downregulate	negative	mir-152	1209.948	279.4763	279.4763	miRNA		Our results proved that miR-152 expression was downregulated in CRC cell lines and tissue samples , and its expression was inversely correlated with advanced tumor-node-metastasis ( TNM ) stage ( P ? < ? 0.01 ) and lymph node metastasis ( P ? < ? 0.01 ) .
1835	downregulate	negative	colorectal cancer 	754.9962	891.7133	891.7133	Cancer	D001943|D009369	Our results proved that miR-152 expression was downregulated in CRC cell lines and tissue samples , and its expression was inversely correlated with advanced tumor-node-metastasis ( TNM ) stage ( P ? < ? 0.01 ) and lymph node metastasis ( P ? < ? 0.01 ) .
1834	downregulate	negative	mir-655	1207.882	274.5916	274.5916	miRNA		In this study , we found that miR-655 was down-regulated in TNBC , and its expression levels were associated with molecular-based classification and lymph node metastasis in breast cancer .
1834	downregulate	negative	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	In this study , we found that miR-655 was down-regulated in TNBC , and its expression levels were associated with molecular-based classification and lymph node metastasis in breast cancer .
1833	downregulate	negative	mir-655	1207.882	274.5916	274.5916	miRNA		In this study , we found that miR-655 was down-regulated in TNBC , and its expression levels were associated with molecular-based classification and lymph node metastasis in breast cancer .
1833	downregulate	negative	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	In this study , we found that miR-655 was down-regulated in TNBC , and its expression levels were associated with molecular-based classification and lymph node metastasis in breast cancer .
1826	inhibit	negative	mir-532	1205.758	269.732	269.732	miRNA		It was also verified that miR-532-5p inhibited cell proliferation and metastasis of HCC cells by inhibition CXCL2 .
1826	inhibit	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	It was also verified that miR-532-5p inhibited cell proliferation and metastasis of HCC cells by inhibition CXCL2 .
1825	promote	positive	mir-532	1205.758	269.732	269.732	miRNA		Loss of miR-532-5p in vitro promotes cell proliferation and metastasis by influencing CXCL2 expression in HCC .
1825	promote	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	Loss of miR-532-5p in vitro promotes cell proliferation and metastasis by influencing CXCL2 expression in HCC .
1817	induce	positive	mir-522	1203.576	264.8981	264.8981	miRNA		DENND2D was involved in miR-522 induced proliferation and metastasis of NSCLC cells by a miRNA-masking antisense oligonucleotides ( miR-mask ) technology .
1817	induce	positive	escc	1243.493	471.2066	471.2066	Cancer	D009369	DENND2D was involved in miR-522 induced proliferation and metastasis of NSCLC cells by a miRNA-masking antisense oligonucleotides ( miR-mask ) technology .
1816	downregulate	negative	mir-522	1203.576	264.8981	264.8981	miRNA		Downregulation of miR-522 suppresses proliferation and metastasis of non-small cell lung cancer cells by directly targeting DENN/MADD domain containing 2D .
